SourceID,RAdeg,DEdeg,HJD,mag,e_mag,flag,band
1,0.0005663,62.1016311,58642.42155,17.992,0.031,0,g
1,0.0005663,62.1016311,58653.38663,18.028,0.032,0,g
1,0.0005663,62.1016311,58650.47293,17.958,0.031,0,g
1,0.0005663,62.1016311,58507.19925,18.026,0.032,0,g
1,0.0005663,62.1016311,58505.17845,18.110,0.033,0,g
1,0.0005663,62.1016311,58523.12479,17.904,0.030,0,g
1,0.0005663,62.1016311,58509.17842,18.000,0.032,0,g
1,0.0005663,62.1016311,58471.10667,17.988,0.031,0,g
1,0.0005663,62.1016311,58503.19861,18.031,0.032,0,g
1,0.0005663,62.1016311,58487.16168,18.060,0.032,0,g
1,0.0005663,62.1016311,58482.14036,17.961,0.031,0,g
1,0.0005663,62.1016311,58493.17780,18.038,0.032,0,g
1,0.0005663,62.1016311,58491.15524,18.049,0.032,0,g
1,0.0005663,62.1016311,58607.47597,17.954,0.031,0,g
1,0.0005663,62.1016311,58472.15924,17.952,0.031,0,g
1,0.0005663,62.1016311,58400.28022,17.981,0.031,0,g
1,0.0005663,62.1016311,58397.35443,18.020,0.032,0,g
1,0.0005663,62.1016311,58483.11448,18.048,0.032,0,g
1,0.0005663,62.1016311,58486.15830,17.926,0.030,0,g
1,0.0005663,62.1016311,58638.44776,17.975,0.031,0,g
1,0.0005663,62.1016311,58640.45395,17.965,0.031,0,g
1,0.0005663,62.1016311,58652.46500,17.970,0.031,0,g
1,0.0005663,62.1016311,58646.45244,17.941,0.031,0,g
1,0.0005663,62.1016311,58641.45063,17.964,0.031,0,g
1,0.0005663,62.1016311,58645.45230,17.964,0.031,0,g
1,0.0005663,62.1016311,58643.45157,17.947,0.031,0,g
1,0.0005663,62.1016311,58441.25195,17.896,0.030,0,g
1,0.0005663,62.1016311,58647.35515,17.943,0.031,0,g
1,0.0005663,62.1016311,58657.47232,17.978,0.031,0,g
1,0.0005663,62.1016311,58648.44747,17.963,0.031,0,g
1,0.0005663,62.1016311,58649.38282,17.855,0.030,0,g
1,0.0005663,62.1016311,58663.46457,18.008,0.032,0,g
1,0.0005663,62.1016311,58298.46994,18.038,0.032,0,g
1,0.0005663,62.1016311,58297.46936,17.985,0.031,0,g
1,0.0005663,62.1016311,58289.42146,18.084,0.033,0,g
1,0.0005663,62.1016311,58285.44893,18.054,0.032,0,g
1,0.0005663,62.1016311,58290.45154,18.011,0.032,0,g
1,0.0005663,62.1016311,58280.42439,17.956,0.031,0,g
1,0.0005663,62.1016311,58287.43055,18.055,0.032,0,g
1,0.0005663,62.1016311,58293.45169,18.019,0.032,0,g
1,0.0005663,62.1016311,58292.45363,18.028,0.032,0,g
1,0.0005663,62.1016311,58294.45637,18.046,0.032,0,g
1,0.0005663,62.1016311,58291.45278,18.024,0.032,0,g
1,0.0005663,62.1016311,58283.42468,18.040,0.032,0,g
1,0.0005663,62.1016311,58279.45346,18.045,0.032,0,g
1,0.0005625,62.1016189,58280.46973,16.562,0.019,0,r
1,0.0005625,62.1016189,58286.47228,16.579,0.019,0,r
1,0.0005625,62.1016189,58348.40959,16.541,0.019,0,r
1,0.0005625,62.1016189,58283.38437,16.608,0.019,0,r
1,0.0005625,62.1016189,58289.45301,16.579,0.019,0,r
1,0.0005625,62.1016189,58285.40338,16.604,0.019,0,r
1,0.0005625,62.1016189,58287.47171,16.595,0.019,0,r
1,0.0005625,62.1016189,58342.34729,16.516,0.019,0,r
1,0.0005625,62.1016189,58327.40360,16.601,0.019,0,r
1,0.0005625,62.1016189,58325.47427,16.575,0.019,0,r
1,0.0005625,62.1016189,58328.40264,16.543,0.019,0,r
1,0.0005625,62.1016189,58326.41143,16.567,0.019,0,r
1,0.0005625,62.1016189,58335.35637,16.589,0.019,0,r
1,0.0005625,62.1016189,58337.34328,16.575,0.019,0,r
1,0.0005625,62.1016189,58345.36118,16.601,0.019,0,r
1,0.0005625,62.1016189,58278.47036,16.559,0.019,0,r
1,0.0005625,62.1016189,58279.42649,16.642,0.020,0,r
1,0.0005625,62.1016189,58254.48456,16.565,0.019,0,r
1,0.0005625,62.1016189,58284.47050,16.608,0.019,0,r
1,0.0005625,62.1016189,58650.42889,16.528,0.019,0,r
1,0.0005625,62.1016189,58508.21909,16.539,0.019,0,r
1,0.0005625,62.1016189,58277.42782,16.629,0.019,0,r
1,0.0005625,62.1016189,58523.15736,16.519,0.019,0,r
1,0.0005625,62.1016189,58652.44535,16.532,0.019,0,r
1,0.0005625,62.1016189,58657.42665,16.551,0.019,0,r
1,0.0005625,62.1016189,58336.35638,16.553,0.019,0,r
1,0.0005625,62.1016189,58654.44797,16.542,0.019,0,r
1,0.0005625,62.1016189,58276.46474,16.537,0.019,0,r
1,0.0005625,62.1016189,58474.15253,16.532,0.019,0,r
1,0.0005625,62.1016189,58426.26383,16.568,0.019,0,r
1,0.0005625,62.1016189,58428.24361,16.575,0.019,0,r
1,0.0005625,62.1016189,58390.24604,16.632,0.019,0,r
1,0.0005625,62.1016189,58432.26475,16.531,0.019,0,r
1,0.0005625,62.1016189,58475.30498,16.572,0.019,0,r
1,0.0005625,62.1016189,58441.28486,16.506,0.019,0,r
1,0.0005625,62.1016189,58304.40171,16.604,0.019,0,r
1,0.0005625,62.1016189,58297.43209,16.566,0.019,0,r
1,0.0005625,62.1016189,58312.42544,16.605,0.019,0,r
1,0.0005625,62.1016189,58437.30853,16.536,0.019,0,r
1,0.0005625,62.1016189,58294.47219,16.598,0.019,0,r
1,0.0005625,62.1016189,58301.44774,16.520,0.019,0,r
1,0.0005625,62.1016189,58320.38522,16.619,0.019,0,r
1,0.0005625,62.1016189,58434.20719,16.579,0.019,0,r
1,0.0005625,62.1016189,58321.46990,16.576,0.019,0,r
1,0.0005625,62.1016189,58305.42601,16.553,0.019,0,r
1,0.0005625,62.1016189,58319.45250,16.570,0.019,0,r
1,0.0005625,62.1016189,58322.40687,16.611,0.019,0,r
1,0.0005625,62.1016189,58307.40730,16.543,0.019,0,r
1,0.0005625,62.1016189,58323.47837,16.567,0.019,0,r
1,0.0005625,62.1016189,58303.47566,16.544,0.019,0,r
1,0.0005625,62.1016189,58291.46818,16.595,0.019,0,r
1,0.0005625,62.1016189,58296.36259,16.587,0.019,0,r
1,0.0005625,62.1016189,58290.47687,16.593,0.019,0,r
1,0.0005625,62.1016189,58298.44663,16.549,0.019,0,r
1,0.0005625,62.1016189,58292.47142,16.597,0.019,0,r
1,0.0005625,62.1016189,58430.20117,16.555,0.019,0,r
1,0.0005625,62.1016189,58389.30536,16.544,0.019,0,r
1,0.0005625,62.1016189,58423.30185,16.578,0.019,0,r
1,0.0005625,62.1016189,58435.28264,16.545,0.019,0,r
1,0.0005625,62.1016189,58379.38128,16.535,0.019,0,r
1,0.0005625,62.1016189,58370.41519,16.601,0.019,0,r
1,0.0005625,62.1016189,58382.34732,16.656,0.020,0,r
1,0.0005625,62.1016189,58386.41344,16.587,0.019,0,r
1,0.0005625,62.1016189,58371.43112,16.531,0.019,0,r
1,0.0005625,62.1016189,58380.33010,16.635,0.020,0,r
1,0.0005625,62.1016189,58368.34541,16.581,0.019,0,r
1,0.0005625,62.1016189,58373.32084,16.538,0.019,0,r
1,0.0005625,62.1016189,58367.36173,16.558,0.019,0,r
1,0.0005625,62.1016189,58372.36472,16.597,0.019,0,r
1,0.0005625,62.1016189,58365.34797,16.582,0.019,0,r
1,0.0005625,62.1016189,58360.31705,16.558,0.019,0,r
1,0.0005625,62.1016189,58364.34706,16.583,0.019,0,r
1,0.0005625,62.1016189,58356.49131,16.556,0.019,0,r
1,0.0005625,62.1016189,58363.28247,16.618,0.019,0,r
1,0.0005625,62.1016189,58375.36809,16.527,0.019,0,r
1,0.0005625,62.1016189,58507.22771,16.547,0.019,0,r
1,0.0005625,62.1016189,58487.11350,16.615,0.019,0,r
1,0.0005625,62.1016189,58494.11869,16.576,0.019,0,r
1,0.0005625,62.1016189,58540.11777,16.551,0.019,0,r
1,0.0005625,62.1016189,58503.12034,16.599,0.019,0,r
1,0.0005625,62.1016189,58653.44737,16.558,0.019,0,r
1,0.0005625,62.1016189,58366.36064,16.565,0.019,0,r
1,0.0005625,62.1016189,58369.38711,16.518,0.019,0,r
1,0.0005625,62.1016189,58493.12082,16.604,0.019,0,r
1,0.0005625,62.1016189,58511.11950,16.595,0.019,0,r
1,0.0005625,62.1016189,58483.10502,16.647,0.020,0,r
1,0.0005625,62.1016189,58385.26639,16.539,0.019,0,r
1,0.0005625,62.1016189,58383.40905,16.544,0.019,0,r
1,0.0005625,62.1016189,58378.40972,16.612,0.019,0,r
1,0.0005625,62.1016189,58384.20109,16.627,0.019,0,r
1,0.0005625,62.1016189,58377.41270,16.528,0.019,0,r
1,0.0005625,62.1016189,58376.35458,16.612,0.019,0,r
1,0.0005625,62.1016189,58388.25904,16.607,0.019,0,r
1,0.0005625,62.1016189,58387.42740,16.542,0.019,0,r
1,0.0005625,62.1016189,58651.43422,16.576,0.019,0,r
1,0.0005625,62.1016189,58481.30825,16.574,0.019,0,r
1,0.0005625,62.1016189,58490.15206,16.503,0.019,0,r
1,0.0005625,62.1016189,58374.36111,16.608,0.019,0,r
1,0.0005625,62.1016189,58663.43463,16.553,0.019,0,r
1,0.0005625,62.1016189,58442.26539,16.600,0.019,0,r
1,0.0005625,62.1016189,58457.16016,16.574,0.019,0,r
1,0.0005625,62.1016189,58447.38740,16.550,0.019,0,r
1,0.0005625,62.1016189,58464.26444,16.577,0.019,0,r
1,0.0005625,62.1016189,58471.16089,16.535,0.019,0,r
1,0.0005625,62.1016189,58468.27117,16.571,0.019,0,r
1,0.0005625,62.1016189,58456.18044,16.560,0.019,0,r
1,0.0005625,62.1016189,58355.33747,16.604,0.019,0,r
1,0.0005625,62.1016189,58352.32627,16.563,0.019,0,r
1,0.0005625,62.1016189,58353.43400,16.587,0.019,0,r
1,0.0005625,62.1016189,58350.39226,16.548,0.019,0,r
1,0.0005625,62.1016189,58354.42996,16.534,0.019,0,r
1,0.0005625,62.1016189,58349.34405,16.600,0.019,0,r
1,0.0005625,62.1016189,58353.49090,16.598,0.019,0,r
1,0.0005625,62.1016189,58351.38469,16.603,0.019,0,r
1,0.0005625,62.1016189,58358.41314,16.552,0.019,0,r
1,0.0005625,62.1016189,58355.46814,16.585,0.019,0,r
1,0.0005625,62.1016189,58362.34006,16.583,0.019,0,r
1,0.0005625,62.1016189,58361.31705,16.568,0.019,0,r
1,0.0005625,62.1016189,58354.34456,16.553,0.019,0,r
1,0.0005625,62.1016189,58357.22004,16.605,0.019,0,r
1,0.0005625,62.1016189,58357.41128,16.573,0.019,0,r
1,0.0005625,62.1016189,58356.40318,16.542,0.019,0,r
1,0.0005612,62.1016301,58327.40217,16.567,0.015,0,r
1,0.0005612,62.1016301,58330.40213,16.516,0.014,0,r
1,0.0005612,62.1016301,58323.47697,16.566,0.015,0,r
1,0.0005612,62.1016301,58325.47328,16.588,0.015,0,r
1,0.0005612,62.1016301,58428.24268,16.535,0.014,0,r
1,0.0005612,62.1016301,58322.37974,16.594,0.015,0,r
1,0.0005612,62.1016301,58329.36206,16.568,0.015,0,r
1,0.0005612,62.1016301,58319.45580,16.565,0.015,0,r
1,0.0005612,62.1016301,58326.41284,16.591,0.015,0,r
1,0.0005612,62.1016301,58257.42074,16.617,0.015,0,r
1,0.0005612,62.1016301,58423.30391,16.593,0.015,0,r
1,0.0005612,62.1016301,58249.47883,16.551,0.015,0,r
1,0.0005612,62.1016301,58256.47953,16.576,0.015,0,r
1,0.0005612,62.1016301,58247.46611,16.599,0.015,0,r
1,0.0005612,62.1016301,58246.44767,16.627,0.015,0,r
1,0.0005612,62.1016301,58244.48285,16.608,0.015,0,r
1,0.0005612,62.1016301,58263.41320,16.602,0.015,0,r
1,0.0005612,62.1016301,58218.51193,16.601,0.015,0,r
1,0.0005612,62.1016301,58258.45261,16.599,0.015,0,r
1,0.0005612,62.1016301,58607.48994,16.540,0.014,0,r
1,0.0005612,62.1016301,58321.46850,16.556,0.015,0,r
1,0.0005612,62.1016301,58254.48599,16.588,0.015,0,r
1,0.0005612,62.1016301,58313.41110,16.510,0.014,0,r
1,0.0005612,62.1016301,58431.18176,16.562,0.015,0,r
1,0.0005612,62.1016301,58320.38618,16.579,0.015,0,r
1,0.0005612,62.1016301,58353.43541,16.612,0.015,0,r
1,0.0005612,62.1016301,58354.42807,16.573,0.015,0,r
1,0.0005612,62.1016301,58350.39036,16.567,0.015,0,r
1,0.0005612,62.1016301,58494.09086,16.510,0.014,0,r
1,0.0005612,62.1016301,58641.47146,16.553,0.015,0,r
1,0.0005612,62.1016301,58429.28003,16.563,0.015,0,r
1,0.0005612,62.1016301,58426.25296,16.541,0.014,0,r
1,0.0005612,62.1016301,58307.40912,16.537,0.014,0,r
1,0.0005612,62.1016301,58430.19934,16.542,0.014,0,r
1,0.0005612,62.1016301,58390.24511,16.571,0.015,0,r
1,0.0005612,62.1016301,58434.18757,16.536,0.014,0,r
1,0.0005612,62.1016301,58511.11808,16.562,0.015,0,r
1,0.0005612,62.1016301,58503.12129,16.559,0.015,0,r
1,0.0005612,62.1016301,58312.42646,16.618,0.015,0,r
1,0.0005612,62.1016301,58314.45029,16.588,0.015,0,r
1,0.0005612,62.1016301,58432.26426,16.592,0.015,0,r
1,0.0005612,62.1016301,58387.42833,16.546,0.015,0,r
1,0.0005612,62.1016301,58373.31896,16.507,0.014,0,r
1,0.0005612,62.1016301,58357.41316,16.565,0.015,0,r
1,0.0005612,62.1016301,58646.46863,16.542,0.014,0,r
1,0.0005612,62.1016301,58360.31655,16.515,0.014,0,r
1,0.0005612,62.1016301,58366.34504,16.570,0.015,0,r
1,0.0005612,62.1016301,58361.30211,16.584,0.015,0,r
1,0.0005612,62.1016301,58357.22102,16.616,0.015,0,r
1,0.0005612,62.1016301,58364.32073,16.547,0.015,0,r
1,0.0005612,62.1016301,58362.32119,16.568,0.015,0,r
1,0.0005612,62.1016301,58356.46460,16.598,0.015,0,r
1,0.0005612,62.1016301,58375.36670,16.524,0.014,0,r
1,0.0005612,62.1016301,58385.26964,16.527,0.014,0,r
1,0.0005612,62.1016301,58389.25626,16.549,0.015,0,r
1,0.0005612,62.1016301,58384.20205,16.611,0.015,0,r
1,0.0005612,62.1016301,58388.25763,16.612,0.015,0,r
1,0.0005612,62.1016301,58386.27581,16.609,0.015,0,r
1,0.0005612,62.1016301,58352.30700,16.531,0.014,0,r
1,0.0005612,62.1016301,58372.36611,16.575,0.015,0,r
1,0.0005612,62.1016301,58650.42796,16.538,0.014,0,r
1,0.0005612,62.1016301,58369.37682,16.546,0.015,0,r
1,0.0005612,62.1016301,58378.39537,16.597,0.015,0,r
1,0.0005612,62.1016301,58377.30510,16.525,0.014,0,r
1,0.0005612,62.1016301,58382.34872,16.609,0.015,0,r
1,0.0005612,62.1016301,58367.34250,16.530,0.014,0,r
1,0.0005612,62.1016301,58376.35365,16.594,0.015,0,r
1,0.0005612,62.1016301,58374.32943,16.601,0.015,0,r
1,0.0005612,62.1016301,58370.41423,16.605,0.015,0,r
1,0.0005612,62.1016301,58371.41212,16.561,0.015,0,r
1,0.0005612,62.1016301,58368.34351,16.589,0.015,0,r
1,0.0005612,62.1016301,58379.38177,16.541,0.014,0,r
1,0.0005612,62.1016301,58380.32914,16.629,0.015,0,r
1,0.0005612,62.1016301,58334.36097,16.544,0.015,0,r
1,0.0005612,62.1016301,58523.15640,16.529,0.014,0,r
1,0.0005612,62.1016301,58336.34510,16.516,0.014,0,r
1,0.0005612,62.1016301,58651.43329,16.565,0.015,0,r
1,0.0005612,62.1016301,58653.44880,16.572,0.015,0,r
1,0.0005612,62.1016301,58654.44890,16.556,0.015,0,r
1,0.0005612,62.1016301,58657.40118,16.554,0.015,0,r
1,0.0005612,62.1016301,58652.42529,16.560,0.015,0,r
1,0.0005612,62.1016301,58359.32904,16.600,0.015,0,r
1,0.0005612,62.1016301,58363.28297,16.580,0.015,0,r
1,0.0005612,62.1016301,58358.27754,16.566,0.015,0,r
1,0.0005612,62.1016301,58359.38162,16.590,0.015,0,r
1,0.0005612,62.1016301,58447.35960,16.546,0.015,0,r
1,0.0005612,62.1016301,58297.43259,16.557,0.015,0,r
