SourceID,RAdeg,DEdeg,HJD,mag,e_mag,flag,band
7,0.0016367,60.8635681,58511.13877,19.700,0.076,0,g
7,0.0016367,60.8635681,58472.18390,19.804,0.081,0,g
7,0.0016367,60.8635681,58383.45484,20.067,0.096,0,g
7,0.0016367,60.8635681,58494.14339,19.825,0.082,0,g
7,0.0016367,60.8635681,58289.42331,19.963,0.090,0,g
7,0.0016367,60.8635681,58378.34690,19.826,0.082,0,g
7,0.0016367,60.8635681,58486.15733,19.841,0.083,0,g
7,0.0016367,60.8635681,58540.13509,19.971,0.090,0,g
7,0.0016367,60.8635681,58646.45195,19.911,0.087,0,g
7,0.0016367,60.8635681,58642.42062,20.004,0.092,0,g
7,0.0016367,60.8635681,58493.17823,19.890,0.086,0,g
7,0.0016367,60.8635681,58372.41244,19.875,0.085,0,g
7,0.0016367,60.8635681,58262.47330,19.861,0.084,0,g
7,0.0016367,60.8635681,58279.45253,20.036,0.094,0,g
7,0.0016367,60.8635681,58273.46631,19.900,0.086,0,g
7,0.0016367,60.8635681,58272.42912,19.870,0.085,0,g
7,0.0016367,60.8635681,58379.35006,19.971,0.090,0,g
7,0.0016367,60.8635681,58487.16115,20.183,0.103,0,g
7,0.0016367,60.8635681,58641.44923,19.855,0.084,0,g
7,0.0016367,60.8635681,58491.13867,20.755,0.139,0,g
7,0.0016367,60.8635681,58269.44654,19.472,0.065,0,g
7,0.0016367,60.8635681,58514.17635,19.920,0.087,0,g
7,0.0016367,60.8635681,58282.42239,19.931,0.088,0,g
7,0.0016367,60.8635681,58437.24335,20.205,0.105,0,g
7,0.0016367,60.8635681,58286.43042,20.207,0.105,0,g
7,0.0016367,60.8635681,58274.44581,20.017,0.093,0,g
7,0.0016367,60.8635681,58270.46666,19.388,0.062,0,g
7,0.0016367,60.8635681,58441.26630,19.748,0.078,0,g
7,0.0016367,60.8635681,58278.43444,19.754,0.079,0,g
7,0.0016367,60.8635681,58263.46393,19.694,0.076,0,g
7,0.0016367,60.8635681,58288.42858,19.984,0.091,0,g
7,0.0016367,60.8635681,58287.43007,19.838,0.083,0,g
7,0.0016367,60.8635681,58362.47041,20.048,0.095,0,g
7,0.0016367,60.8635681,58469.16131,19.881,0.085,0,g
7,0.0016367,60.8635681,58507.17443,19.931,0.088,0,g
7,0.0016367,60.8635681,58385.36558,20.064,0.096,0,g
7,0.0016367,60.8635681,58428.19894,20.074,0.096,0,g
7,0.0016367,60.8635681,58457.11986,19.950,0.089,0,g
7,0.0016367,60.8635681,58539.13567,19.812,0.082,0,g
7,0.0016367,60.8635681,58483.11493,19.871,0.085,0,g
7,0.0016367,60.8635681,58380.37411,20.241,0.107,0,g
7,0.0016367,60.8635681,58429.24516,19.903,0.086,0,g
7,0.0016367,60.8635681,58430.26253,19.880,0.085,0,g
7,0.0016367,60.8635681,58400.28263,20.203,0.104,0,g
7,0.0016367,60.8635681,58436.23918,19.714,0.077,0,g
7,0.0016367,60.8635681,58431.23080,19.948,0.089,0,g
7,0.0016367,60.8635681,58388.36569,19.756,0.079,0,g
7,0.0016367,60.8635681,58426.32505,19.963,0.090,0,g
7,0.0016367,60.8635681,58424.19538,19.756,0.079,0,g
7,0.0016367,60.8635681,58376.32076,19.923,0.088,0,g
7,0.0016367,60.8635681,58384.46757,19.840,0.083,0,g
7,0.0016367,60.8635681,58397.36686,19.932,0.088,0,g
7,0.0016367,60.8635681,58382.40578,20.085,0.097,0,g
